"county_fips_code","year","area_deprivation_index_percent"
"17137",2018,43
"17141",2019,29
"17143",2020,46
"17143",2019,42
"17145",2019,60
"17145",2020,69
"17147",2020,7
"17149",2020,62
"17151",2019,61
"17151",2020,71
"17153",2020,86
"17155",2019,13
"17155",2020,15
"17157",2019,47
"17159",2018,60
"17161",2018,46
"17161",2019,49
"17161",2020,52
"17163",2020,45
"17165",2020,83
"17167",2018,22
"17171",2020,46
"17173",2019,43
"17173",2018,42
"17173",2020,43
"17175",2018,35
"17175",2019,34
"17175",2020,37
"17179",2018,12
"17179",2020,14
"17181",2020,67
"17181",2019,59
"17181",2018,59
"17187",2019,50
"17187",2018,60
"17189",2018,21
"17189",2020,17
"17191",2018,58
"17191",2020,60
"17193",2019,59
"17195",2019,37
"17195",2018,39
"17197",2018,5
"17199",2020,44
"17199",2018,42
"17201",2019,56
"17201",2020,57
"17203",2019,7
"17203",2018,7
"18001",2018,75
"18001",2020,79
"18003",2019,45
"18003",2020,46
"18005",2020,27
"18007",2019,42
"18009",2020,57
"18011",2020,4
"18015",2020,32
"18015",2018,34
"18017",2018,66
"18019",2020,27
"18021",2019,45
"18021",2018,53
"18023",2020,53
"18023",2019,55
"18025",2020,74
"18025",2018,79
"18025",2019,79
"18027",2018,80
"18029",2018,13
"18029",2020,19
"18029",2019,17
"18031",2019,37
"18033",2019,38
"18033",2018,37
"18035",2018,60
"18035",2019,59
"18035",2020,62
"18037",2020,26
"18039",2019,64
"18041",2020,75
"18041",2019,78
"18043",2018,23
"18043",2019,20
"18045",2019,52
"18045",2018,52
"18047",2019,34
"18047",2020,36
"18049",2019,50
"18051",2020,34
"18051",2018,35
"18053",2019,67
"18053",2018,67
"18055",2019,47
"18057",2019,1
"18059",2020,6
"18059",2019,6
"18059",2018,6
"18061",2019,29
"18061",2018,28
"18063",2018,4
"18065",2019,52
"18067",2020,54
"18067",2018,54
"18067",2019,54
"18071",2018,48
"18073",2020,25
"18073",2019,27
"18075",2020,77
"18075",2019,80
"18077",2020,52
"18077",2018,57
"18077",2019,52
"18079",2018,57
"18081",2020,9
"18085",2019,39
"18085",2020,38
"18087",2020,95
"18087",2019,95
"18089",2018,50
"18089",2020,51
"18093",2018,47
"18095",2020,57
"18099",2018,52
"18099",2020,53
"18101",2018,54
"18101",2019,58
"18103",2020,66
"18103",2018,62
"18103",2019,64
"18105",2019,41
"18107",2020,39
"18107",2019,33
"18109",2018,25
"18109",2019,26
"18111",2019,54
"18111",2018,50
"18115",2020,24
"18115",2018,17
"18117",2019,72
"18117",2020,74
"18121",2018,64
"18123",2019,57
"18125",2020,40
"18125",2018,39
"18125",2019,38
"18127",2020,11
"18129",2020,18
"18131",2020,53
"18131",2018,54
"18131",2019,50
"18133",2019,32
"18135",2020,59
"18135",2019,61
"18135",2018,61
"18137",2019,38
"18137",2020,41
"18137",2018,33
"18139",2020,63
"18141",2019,49
"18145",2018,43
"18145",2020,30
"18145",2019,33
"18147",2019,24
"18149",2019,61
"18151",2019,25
"18153",2018,69
"18155",2019,80
"18155",2020,75
"18157",2018,44
"18157",2020,43
"18159",2019,22
"18159",2018,23
"18161",2018,30
"18163",2018,49
"18165",2020,59
"18167",2020,68
"18167",2018,66
"18169",2018,39
"18171",2020,24
"18173",2018,9
"18173",2020,7
"18175",2020,65
"18177",2019,67
"18177",2020,66
"18181",2020,31
"18183",2019,22
"18183",2020,16
"18183",2018,21
"20001",2020,61
"20003",2020,50
"20005",2018,47
"20005",2019,52
"20007",2018,36
"20007",2020,48
"20007",2019,39
"20011",2019,67
"20011",2018,62
"20013",2019,44
"20015",2020,15
"20015",2018,14
"20017",2019,32
"20017",2018,29
"20019",2020,72
"20019",2018,63
"20021",2018,59
"20021",2019,58
"20023",2019,32
"20025",2018,47
"20025",2019,30
"20027",2020,22
"20027",2019,25
"20029",2020,54
"20031",2020,28
"20031",2019,25
"20033",2019,20
"20035",2020,59
"20037",2018,66
"20037",2020,69
"20037",2019,69
"20039",2020,47
"20041",2019,39
"20043",2020,47
"20043",2019,42
"20047",2019,59
"20047",2020,48
"20047",2018,54
"20049",2019,58
"20051",2019,30
"20055",2020,85
"20055",2018,79
"20057",2019,91
"20059",2019,33
"20059",2020,31
"20061",2020,58
"20063",2019,21
"20067",2018,64
"20067",2020,59
"20071",2020,38
"20071",2018,22
"20073",2018,55
"20075",2018,57
"20075",2020,61
"20075",2019,47
"20077",2018,30
"20077",2019,44
"20079",2018,28
"20081",2020,80
"20081",2018,69
"20081",2019,75
"20083",2020,23
"20085",2018,18
"20087",2018,17
"20089",2019,31
"20089",2018,35
"20089",2020,44
"20091",2018,3
"20091",2019,3
"20093",2020,71
"20093",2019,41
"20095",2019,16
"20095",2018,15
"20097",2019,26
"20097",2020,23
"20099",2020,67
"20099",2018,72
"20099",2019,65
"20101",2020,36
"20105",2020,33
"20105",2019,31
"20107",2019,65
"20107",2020,66
"20107",2018,56
"20109",2018,24
"20109",2019,21
"20111",2020,67
"20113",2020,24
"20113",2018,13
"20115",2020,34
"20117",2019,29
"20117",2020,30
"20117",2018,30
"20119",2020,51
"20121",2018,10
"20121",2020,8
"20121",2019,9
"20125",2018,68
"20127",2020,35
"20129",2019,59
"20133",2018,61
"20137",2018,27
"20137",2020,28
"20137",2019,19
"20139",2018,33
"20141",2019,45
"20143",2020,18
"20143",2019,17
"20145",2019,29
"20147",2018,31
"20147",2019,30
"20149",2018,10
"20149",2019,10
"20151",2018,40
"20151",2019,30
"20151",2020,30
"20153",2018,14
"20153",2020,19
"20155",2018,51
"20161",2019,36
"20161",2018,35
"20161",2020,37
"20163",2018,41
